"OBJECTID.x","GEOID","NAME","Total Population","Aggregate Income","Per Capita Income","ACS_VINTAGE","JURISDICTION","CRA_NO","CRA_GRP","GEN_ALIAS","DETL_NAMES","TRACT_LABEL","OBJECTID_12_13_14_15_16","OBJECTID.y","TRACT","TRACTCE10","NAME10","NAMELSAD10","ACRES_TOTA","WATER","SHAPE_Leng","TC_ID","OBJECTID_1","TRACT_1","TRACTCE10_1","GEOID10_1","NAME10_1","NAMELSAD10_1","ACRES_TOTAL","PCT_PEOPLE_OF_COLOR","PTL_PEOPLE_OF_COLOR","PCT_ENGLISH_LESSTHAN_VERY_WELL","PTL_ENGLISH_LESSTHAN_VERY_WELL","PCT_FOREIGN_BORN","PTL_FOREIGN_BORN","PCT_POP_INC_UNDER_200_POVERTY","PTL_POP_INC_UNDER_200_POVERTY","PCT_LESS_BACHELOR_DEGREE","PTL_LESS_BACHELOR_DEGREE","PCT_ADULTNOLEISUREPHYSACTIVITY","PCT_ADULT_WITH_DIABETES","PCT_ADULT_OBESE","PCT_ADULTMENTALHEALTHNOTGOOD","PCT_ADULT_WITH_ASTHMA","PCT_ADULT_WITH_DISABILITIES","PCT_LOW_LIFE_EXPECT_AT_BIRTH","PTL_ADULTNOLEISUREPHYSACTIVITY","PTL_ADULT_DIAGNOSED_DIABETES","PTL_ADULT_OBESE","PTL_ADULTMENTALHEALTHNOTGOOD","PTL_ADULT_WITH_ASTHMA","PTL_ADULT_WITH_DISABILITIES","PTL_LOW_LIFE_EXPECT_AT_BIRTH","COMPOSITE_PERCENTILE","COMPOSITE_QUINTILE","RACE_ELL_ORIGINS_PERCENTILE","RACE_ELL_ORIGINS_QUINTILE","SOCIOECONOMIC_PERCENTILE","SOCIOECONOMIC_QUINTILE","HEALTH_PERCENTILE","HEALTH_QUINTILE","RSE_Priority_Rank","OBJECTID_12","TC_ID_1","Total_A","Can_A","Grass_A","Soil_A","Water_A","Build_A","Road_A","Paved_A","Perv_A","Imperv_A","Can_P","Grass_P","Soil_P","Water_P","Build_P","Road_P","Paved_P","Perv_P","Imperv_P","TC_E_A","TC_Pv_A","TC_Land_A","TC_Pi_A","TC_P_A","TC_E_P","TC_Pv_P","TC_P_P","TC_Pi_P","TC_Land_A_1","Gain","Loss","No_Change","TreeCanopy_2016_Area","TreeCanopy_2021_Area","Change_Area","Change_PercentChange","TreeCanopy_2016_Percent","TreeCanopy_2021_Percent","Change_Percent_AbsDiff","OBJECTID_12_13","OBJECTID_12_13_14","TC_ID_12","OBJECTID_12_13_14_15","TC_ID_12_13","Shape__Area","Shape__Length","maj_TC","Imperv_TC_Diff"
1,53033000101,"Census Tract 1.01, King County, Washington",3659,117927500,32229,"5Y20","Seattle",8.3,8,"Cedar Park/Meadowbrook","Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,53033000102,"Census Tract 1.02, King County, Washington",4539,247427600,54511,"5Y20","Seattle",8.3,8,"Cedar Park/Meadowbrook","Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,53033000201,"Census Tract 2.01, King County, Washington",4680,283150200,60502,"5Y20","Seattle",8.2,8,"Olympic Hills/Victory Heights","Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,53033000202,"Census Tract 2.02, King County, Washington",4194,172241600,41069,"5Y20","Seattle",8.2,8,"Olympic Hills/Victory Heights","Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,53033000300,"Census Tract 3, King County, Washington",2943,140905100,47878,"5Y20","Seattle",9.5,9,"Haller Lake","Haller Lake, Pinehurst",3,41,81,300,300,3,"Census Tract 3",299.10185078,0,17267.9744895651,81,104,NA,NA,NA,NA,NA,299.10185078,0.23886926,0.391,0.05059084,0.564,0.095053,0.234,0.29280397,0.67,0.612073,0.85,0.166,0.076,0.244,0.114,0.095,0.16080178,0.8005,0.751,0.714,0.796,0.812,0.819,0.864,0.782,0.685,"Second highest",0.391,"Second lowest",0.775,"Second highest",0.828,"Highest priority/Most disadvantaged",4,NA,NA,13028887,4173311,4112365,0,0,2012108,1797865,933238,8285676,4743211,32.0312164807324,31.5634405302617,0,0,15.4434373404267,13.7990681782719,7.16283747030733,63.5946570109941,36.4053429890059,4173311,4112365,13028887,933238,5045603,32.0312164807324,31.5634405302617,38.726278000569,7.16283747030733,NA,378415,523240,3794896,4318136,4173311,-144825,-3.35387769167067,33.1427849516233,32.0312164807324,-1.11156847089088,NA,NA,NA,NA,NA,13028875.3245544,17267.9738231408,FALSE,-4.37412650827351
6,53033000402,"Census Tract 4.02, King County, Washington",5374,295563600,54999,"5Y20","Seattle",9.1,9,"Broadview/Bitter Lake","Broadview, Bitter Lake",4.02,58,100,402,402,4.02,"Census Tract 4.02",444.49421891,0,21397.1748866823,100,128,NA,NA,NA,NA,NA,444.49421891,0.21974831,0.339,0.04363208,0.497,0.10029042,0.271,0.21309475,0.534,0.46409091,0.677,0.152,0.076,0.209,0.087,0.085,0.20864791,0.7931,0.684,0.714,0.285,0.27,0.24,0.954,0.82,0.564,"Middle",0.369,"Second lowest",0.617,"Second highest",0.617,"Second highest",3,NA,NA,19362159,4976005,7357214,17559,1833,3240858,1826816,1941874,12352611,7009548,25.6996391776351,37.9979009572228,0.090687200740372,0.00946691946905301,16.7381023986013,9.43498088203903,10.0292224642923,63.7976942550673,36.2023057449327,4976005,7357214,19360326,1959433,9316647,25.7020723721284,38.0014985284855,48.1223663279224,10.1208677994368,NA,598060,581032,4377945,4958977,4976005,17028,0.343377273175496,25.6141193077017,25.7020723721284,0.0879530644267028,NA,NA,NA,NA,NA,19362165.5422668,21397.1735646488,FALSE,-10.5002333728043
7,53033000403,"Census Tract 4.03, King County, Washington",3347,138588800,41407,"5Y20","Seattle",9.1,9,"Broadview/Bitter Lake","Broadview, Bitter Lake",4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,53033000404,"Census Tract 4.04, King County, Washington",3739,130479000,34897,"5Y20","Seattle",9.1,9,"Broadview/Bitter Lake","Broadview, Bitter Lake",4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,53033000500,"Census Tract 5, King County, Washington",3143,280541500,89259,"5Y20","Seattle",9.1,9,"Broadview/Bitter Lake","Broadview, Bitter Lake",5,132,179,500,500,5,"Census Tract 5",691.43877239,0,26774.4064985703,179,35,NA,NA,NA,NA,NA,691.43877239,0.1521877,0.113,0.03150134,0.376,0.10526316,0.286,0.10454401,0.098,0.31820092,0.391,0.125,0.076,0.211,0.078,0.083,0.08590657,0.8243,0.413,0.714,0.345,0.045,0.082,0.353,0.564,0.196,"Second lowest",0.188,"Lowest",0.181,"Lowest",0.346,"Second lowest",2,NA,NA,30119091,15913112,7769738,139228,0,3402301,1535840,1358872,23822078,6297013,52.83397164941,25.7967214216392,0.462258306533886,0,11.2961609631579,5.099224276058,4.51166338320104,79.0929513775831,20.9070486224169,15913112,7769738,30119091,1498100,9267838,52.83397164941,25.7967214216392,30.7706431113741,4.97392168973493,NA,983619,1412111,14929493,16341604,15913112,-428492,-2.62209266605653,54.2566307861017,52.83397164941,-1.42265913669174,NA,NA,NA,NA,NA,30119069.3062439,26774.4047929896,TRUE,31.9269230269931
10,53033000601,"Census Tract 6.01, King County, Washington",4758,202368300,42532,"5Y20","Seattle",9.5,9,"Haller Lake","Haller Lake, Pinehurst",6.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
